Entity,Code,Year,labour_force_dependency_ratio,age_dependency_ratio,high_labour_force_dependency
Austria,AUT,2015,1,1,1
Austria,AUT,2020,1.024415196,1.052787961,1.001777049
Austria,AUT,2025,1.087329791,1.149735409,1.022163874
Austria,AUT,2030,1.161209404,1.280121778,1.038434489
Austria,AUT,2035,1.190204527,1.380219063,1.039615173
Austria,AUT,2040,1.213297053,1.424206069,1.019813375
Austria,AUT,2045,1.24340457,1.435984185,1.003419658
Austria,AUT,2050,1.274851694,1.50901043,1.001198962
Austria,AUT,2055,1.328567117,1.602022739,1.046417433
Austria,AUT,2060,1.369968142,1.684241442,1.080688486
Belgium,BEL,2015,1,1,1
Belgium,BEL,2020,1.026863996,1.064651765,0.971651078
Belgium,BEL,2025,1.066950408,1.132075345,0.951444703
Belgium,BEL,2030,1.108185002,1.203789352,0.924877227
Belgium,BEL,2035,1.137991308,1.26512798,0.896390316
Belgium,BEL,2040,1.164313441,1.317993215,0.859166772
Belgium,BEL,2045,1.178770506,1.360123581,0.825303712
Belgium,BEL,2050,1.208757633,1.409828963,0.795900326
Belgium,BEL,2055,1.225757319,1.456087302,0.820540588
Belgium,BEL,2060,1.252982686,1.494327066,0.826665253
Bulgaria,BGR,2015,1,1,1
Bulgaria,BGR,2020,1.013658611,1.119401531,0.966820322
Bulgaria,BGR,2025,1.056449001,1.184745811,0.953117747
Bulgaria,BGR,2030,1.095151965,1.217858297,0.907243704
Bulgaria,BGR,2035,1.100437901,1.22250521,0.868100981
Bulgaria,BGR,2040,1.146767994,1.287652985,0.837761291
Bulgaria,BGR,2045,1.157982671,1.389970377,0.82280224
Bulgaria,BGR,2050,1.208150886,1.484108387,0.812393773
Bulgaria,BGR,2055,1.271726496,1.610212989,0.845459446
Bulgaria,BGR,2060,1.272914138,1.644009157,0.858185571
Croatia,HRV,2015,1,1,1
Croatia,HRV,2020,0.989516136,1.104901141,0.953962926
Croatia,HRV,2025,0.997838613,1.195124474,0.912422391
Croatia,HRV,2030,1.021310264,1.272600652,0.871023438
Croatia,HRV,2035,1.052589942,1.355975751,0.844231211
Croatia,HRV,2040,1.082908439,1.448898168,0.827422634
Croatia,HRV,2045,1.125161296,1.564944997,0.815165019
Croatia,HRV,2050,1.205518488,1.712657635,0.828216023
Croatia,HRV,2055,1.239000686,1.813622085,0.845282587
Croatia,HRV,2060,1.280389743,1.882966197,0.864712485
Cyprus,CYP,2015,1,1,1
Cyprus,CYP,2020,1.037372314,1.126096006,1.001122439
Cyprus,CYP,2025,1.090092353,1.219486277,1.014530985
Cyprus,CYP,2030,1.092169328,1.271986659,1.000847196
Cyprus,CYP,2035,1.150774068,1.330241685,0.967014764
Cyprus,CYP,2040,1.192695154,1.406514478,0.948583394
Cyprus,CYP,2045,1.230975044,1.541746272,0.970209237
Cyprus,CYP,2050,1.376875677,1.710878565,1.006347599
Cyprus,CYP,2055,1.4836818,1.91168152,1.12584606
Cyprus,CYP,2060,1.481595583,1.989665649,1.172050244
Czechia,CZE,2015,1,1,1
Czechia,CZE,2020,0.999952652,1.14862819,0.988253784
Czechia,CZE,2025,1.031879735,1.198990429,0.993263975
Czechia,CZE,2030,1.044434137,1.219130439,0.964990654
Czechia,CZE,2035,1.080448967,1.246027768,0.941990472
Czechia,CZE,2040,1.143090525,1.354188942,0.937145288
Czechia,CZE,2045,1.203618538,1.566855033,0.984029244
Czechia,CZE,2050,1.279398678,1.718903035,1.01133158
Czechia,CZE,2055,1.362174882,1.825029032,1.093271116
Czechia,CZE,2060,1.382532358,1.846795867,1.114434509
Denmark,DNK,2015,1,1,1
Denmark,DNK,2020,1.021705107,1.042002883,1.010658354
Denmark,DNK,2025,1.078227204,1.095536429,1.043123978
Denmark,DNK,2030,1.137576025,1.194465219,1.081829152
Denmark,DNK,2035,1.206688185,1.285170402,1.113392236
Denmark,DNK,2040,1.249757957,1.318860823,1.133528744
Denmark,DNK,2045,1.25807189,1.318757764,1.132609622
Denmark,DNK,2050,1.250762986,1.298654412,1.100068698
Denmark,DNK,2055,1.259191741,1.315715097,1.107874862
Denmark,DNK,2060,1.305691501,1.357834656,1.132551849
EU-27 + UK,,2015,1,1,1
EU-27 + UK,,2020,0.999016613,1.075549517,0.982482168
EU-27 + UK,,2025,1.026070285,1.148226537,0.977811667
EU-27 + UK,,2030,1.063100981,1.238121901,0.973663187
EU-27 + UK,,2035,1.102713053,1.325502904,0.968585019
EU-27 + UK,,2040,1.137962622,1.400804635,0.9629337
EU-27 + UK,,2045,1.168991043,1.467937628,0.956470282
EU-27 + UK,,2050,1.1962433,1.5316376,0.949958872
EU-27 + UK,,2055,1.21947413,1.583708777,0.976782987
EU-27 + UK,,2060,1.233422988,1.616209044,0.991374624
Estonia,EST,2015,1,1,1
Estonia,EST,2020,1.005658633,1.100700919,1.011189258
Estonia,EST,2025,1.053701971,1.158259852,1.022319644
